"day","cases","Pr","Pr_lower","Pr_upper","Pr_IQR_lower","Pr_IQR_upper","Pr_outbreak2021","Pr_outbreak2021_lower","Pr_outbreak2021_upper","Pr_outbreak2021_IQR_lower","Pr_outbreak2021_IQR_upper","R0_par","k_par"
0,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
1,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
2,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
3,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
4,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
5,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
6,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
7,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
8,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
9,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
10,1,1,1,1,1,1,1,1,1,1,1,0.7,0.11
11,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
12,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
13,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
14,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
15,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
16,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
17,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
18,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
19,2,1,1,1,1,1,1,1,1,1,1,0.7,0.11
20,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
21,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
22,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
23,1,1,1,1,1,1,1,1,1,1,1,0.7,0.11
24,1,1,1,1,1,1,1,1,1,1,1,0.7,0.11
25,1,1,1,1,1,1,1,1,1,1,1,0.7,0.11
26,4,1,1,1,1,1,1,1,1,1,1,0.7,0.11
27,1,1,1,1,1,1,1,1,1,1,1,0.7,0.11
28,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
29,2,1,1,1,1,1,1,1,1,1,1,0.7,0.11
30,1,1,1,1,1,1,1,1,1,1,1,0.7,0.11
31,2,1,1,1,1,1,1,1,1,1,1,0.7,0.11
32,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
33,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
34,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
35,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
36,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
37,4,1,1,1,1,1,1,1,1,1,1,0.7,0.11
38,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
39,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
40,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
41,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
42,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
43,1,1,1,1,1,1,1,1,1,1,1,0.7,0.11
44,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
45,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
46,0,1,1,1,1,1,1,1,1,1,1,0.7,0.11
47,1,0.714381,0.6044739,0.809454,0.67730875,0.749769,0.309026,0.2489159,0.3865712,0.287912,0.331194,0.7,0.11
48,0,0.6865435,0.5693485,0.791340775,0.646614,0.72523225,0.27697,0.2185173,0.3532754,0.255885,0.299223,0.7,0.11
49,0,0.6576695,0.53377185,0.77248605,0.6148715,0.69956125,0.244974,0.1911017,0.3197614,0.224417,0.2671,0.7,0.11
50,0,0.6277365,0.49768355,0.75274445,0.582196,0.67280275,0.213478,0.1635958,0.2867353,0.194256,0.235053,0.7,0.11
51,0,0.59688,0.461592225,0.731960625,0.5488205,0.6451285,0.183081,0.1332476,0.2542472,0.165131,0.203581,0.7,0.11
52,0,0.5655325,0.425501275,0.7102457,0.5148625,0.61677775,0.15364,0.09970019,0.2223725,0.135631,0.173191,0.7,0.11
53,0,0.5334665,0.389793275,0.68804765,0.48109,0.5877695,0.124333,0.06566128,0.1917729,0.105235,0.143885,0.7,0.11
54,0,0.5014975,0.354823225,0.66551365,0.44717775,0.55871075,0.0952854,0.03614529,0.1625217,0.0751813,0.115518,0.7,0.11
55,0,0.4697095,0.321159275,0.642821325,0.41393975,0.529344,0.0679455,0.01616614,0.1352712,0.0482542,0.088611,0.7,0.11
56,0,0.438467,0.289287025,0.620374525,0.38138125,0.500208,0.0444019,0.00587948,0.1103574,0.0271825,0.0640663,0.7,0.11
57,0,0.4080045,0.258795475,0.59763225,0.35013275,0.47135225,0.0262936,0.001913434,0.08812941,0.0134047,0.043595,0.7,0.11
58,0,0.3782925,0.23027355,0.57460145,0.3200315,0.44324775,0.0141804,0.0005683082,0.06852053,0.00588087,0.0277285,0.7,0.11
59,0,0.349818,0.20375075,0.55177015,0.2913985,0.41623,0.0070648,8.662522e-05,0.05242709,0.0024062,0.0165723,0.7,0.11
60,0,0.322818,0.1793695,0.529739675,0.2643195,0.38988875,0.0033259,-0.0001342276,0.03945191,0.00100872,0.00946484,0.7,0.11
61,0,0.2971465,0.156853175,0.508339425,0.2389075,0.3647195,0.00160521,-0.00027036,0.02914307,0.000425497,0.00526558,0.7,0.11
62,0,0.272804,0.136860625,0.487262175,0.21533575,0.340483,0.000851639,-0.0003663939,0.02141341,0.0001675,0.00293626,0.7,0.11
63,0,0.249991,0.1186149,0.4668001,0.1935515,0.3175695,0.00048004,-0.0004379835,0.01568826,3.85978e-05,0.00177459,0.7,0.11
64,0,0.2288385,0.102217425,0.44727645,0.17316575,0.29596125,0.000297899,-0.0004862529,0.01163437,-3.55432e-05,0.00119372,0.7,0.11
65,0,0.2092005,0.0876484275,0.4281035,0.154742,0.27557225,0.000202311,-0.0005219311,0.008768676,-8.04361e-05,0.000876644,0.7,0.11
66,0,0.1907845,0.0747959075,0.409879825,0.13796125,0.25662225,0.000148066,-0.0005472388,0.006873341,-0.000110301,0.000693987,0.7,0.11
67,0,0.1738755,0.0633630075,0.39246325,0.12263475,0.23865925,0.000117834,-0.000568524,0.00557406799999999,-0.000130104,0.00058168,0.7,0.11
